Year,Region,Vehicle,Distance
1994,Yorkshire and the Humber,all_motor_vehicles,21576.3
1994,South East,pedal_cycles,432.1
1994,South East,two_wheeled_motor_vehicles,414
1994,South East,cars_and_taxis,37566.6
1994,South East,buses_and_coaches,369.8
1994,South East,LGVs,4446
1994,South East,all_HGVs,2088.5
1994,South East,all_motor_vehicles,44885
1994,West Midlands,pedal_cycles,195.9
1994,West Midlands,two_wheeled_motor_vehicles,175.5
1994,West Midlands,cars_and_taxis,20876.8
1994,West Midlands,buses_and_coaches,299.3
1994,West Midlands,LGVs,2627.8
1994,West Midlands,all_HGVs,1750
1994,West Midlands,all_motor_vehicles,25729.3
1994,North East,pedal_cycles,85.9
1994,North East,two_wheeled_motor_vehicles,54.7
1994,North East,cars_and_taxis,8675.8
1994,North East,buses_and_coaches,173
1994,North East,LGVs,1062.2
1994,North East,all_HGVs,482.4
1994,North East,all_motor_vehicles,10448.2
1995,South West,pedal_cycles,233.9
1995,South West,two_wheeled_motor_vehicles,294.1
1995,South West,cars_and_taxis,20585.3
1995,South West,buses_and_coaches,257.9
1995,South West,LGVs,2532.7
1995,South West,all_HGVs,1360.4
1995,South West,all_motor_vehicles,25030.5
1995,East Midlands,pedal_cycles,205.9
1995,East Midlands,two_wheeled_motor_vehicles,172
1995,East Midlands,cars_and_taxis,16857.4
1995,East Midlands,buses_and_coaches,200.8
1995,East Midlands,LGVs,2217.9
1995,East Midlands,all_HGVs,1750.9
1995,East Midlands,all_motor_vehicles,21198.9
1995,Scotland,pedal_cycles,149.2
1995,Scotland,two_wheeled_motor_vehicles,126.3
1995,Scotland,cars_and_taxis,18421.1
1995,Scotland,buses_and_coaches,350.9
1995,Scotland,LGVs,2380.9
1995,Scotland,all_HGVs,1398.1
1995,Scotland,all_motor_vehicles,22677.4
1995,Wales,pedal_cycles,83.1
1995,Wales,two_wheeled_motor_vehicles,104.7
1995,Wales,cars_and_taxis,11739.5
1995,Wales,buses_and_coaches,164.3
1995,Wales,LGVs,1556.3
1995,Wales,all_HGVs,763.9
1995,Wales,all_motor_vehicles,14328.6
1995,North West,pedal_cycles,260.6
1995,North West,two_wheeled_motor_vehicles,195.8
1995,North West,cars_and_taxis,24607.3
1995,North West,buses_and_coaches,358.1
1995,North West,LGVs,2988.6
1995,North West,all_HGVs,1916.7
1995,North West,all_motor_vehicles,30066.6
1995,London,pedal_cycles,283.3
1995,London,two_wheeled_motor_vehicles,359.9
1995,London,cars_and_taxis,16003.1
1995,London,buses_and_coaches,303.7
1995,London,LGVs,2087
